New log started
Initializing OpenCL environement...
1 - Motion: 855 802
1 - Motion: 862 800
1 - Motion: 869 797
1 - Motion: 876 795
1 - Motion: 883 793
1 - Motion: 890 791
1 - Motion: 897 789
1 - Motion: 904 787
1 - Motion: 911 785
1 - Motion: 916 783
1 - Motion: 921 781
1 - Motion: 926 779
1 - Motion: 931 777
1 - Motion: 936 775
1 - Motion: 941 773
1 - Motion: 946 771
1 - Motion: 951 769
1 - Motion: 956 767
1 - Motion: 963 765
1 - Motion: 970 762
1 - Motion: 977 760
1 - Motion: 984 758
1 - Motion: 991 756
1 - Motion: 998 754
1 - Motion: 1005 752
1 - Motion: 1012 750
1 - Motion: 1019 748
1 - Motion: 1026 746
1 - Motion: 1033 744
1 - Motion: 1040 742
1 - Motion: 1047 740
1 - Motion: 1054 738
1 - Motion: 1061 736
1 - Motion: 1068 734
1 - Motion: 1075 732
1 - Motion: 1082 730
1 - Motion: 1089 727
1 - Motion: 1096 725
1 - Motion: 1103 723
1 - Motion: 1110 721
1 - Motion: 1117 719
1 - Motion: 1124 716
1 - Motion: 1131 714
1 - Motion: 1138 712
1 - Motion: 1143 709
1 - Motion: 1148 707
1 - Motion: 1153 704
1 - Motion: 1158 702
1 - Motion: 1163 699
1 - Motion: 1168 697
1 - Motion: 1173 694
1 - Motion: 1178 692
1 - Motion: 1183 689
1 - Motion: 1188 686
1 - Motion: 1193 683
1 - Motion: 1198 680
1 - Motion: 1203 678
1 - Motion: 1208 675
1 - Motion: 1213 672
1 - Motion: 1218 669
1 - Motion: 1223 666
1 - Motion: 1228 664
1 - Motion: 1233 661
1 - Motion: 1238 658
1 - Motion: 1243 655
1 - Motion: 1245 652
1 - Motion: 1247 650
1 - Motion: 1250 647
1 - Motion: 1252 645
1 - Motion: 1254 642
1 - Motion: 1254 640
1 - Motion: 1256 638
1 - Motion: 1258 636
1 - Motion: 1258 633
1 - Motion: 1258 631
1 - Motion: 1260 629
1 - Motion: 1260 627
1 - Motion: 1260 625
1 - Motion: 1260 622
1 - Motion: 1262 621
1 - Motion: 1262 619
1 - Motion: 1262 617
1 - Motion: 1262 615
1 - Motion: 1262 613
1 - Motion: 1262 611
1 - Motion: 1260 609
1 - Motion: 1260 608
1 - Motion: 1260 606
1 - Motion: 1260 604
1 - Motion: 1258 603
1 - Motion: 1258 601
1 - Motion: 1258 599
1 - Motion: 1258 597
1 - Motion: 1257 597
1 - Motion: 1257 596
1 - Motion: 1257 595
1 - Motion: 1256 595
1 - Motion: 1256 594
1 - Motion: 1255 593
1 - Motion: 1255 592
1 - Motion: 1254 592
1 - Motion: 1254 591
1 - Motion: 1253 591
1 - Motion: 1253 590
1 - Motion: 1252 590
